RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         3289     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.940D+00  1.010D+02
    1    2     1     0  ---    0  2.7D-02  1.0D+00  2.878D+00  6.691D+01
    2    3     0     0  con    0  1.0D+00  8.5D+00  1.768D-01  2.191D+00
    3    4     0     0  con    0  1.0D+00  3.2D-01  8.678D-02  1.829D+00
    4    5     0     0  con    0  1.0D+00  6.1D-01  3.724D-02  1.450D+00
    5    6     0     0  con    0  1.0D+00  5.0D-01  2.993D-02  1.291D+00
    6    7     0     0  con    0  1.0D+00  6.0D-01  2.989D-02  1.178D+00
    7    8     0     0  con    0  1.0D+00  6.7D-01  2.981D-02  1.093D+00
    8    9     0     0  con    0  1.0D+00  8.7D-01  2.947D-02  1.006D+00
    9   10     0     0  con    0  1.0D+00  1.5D+00  2.769D-02  9.262D-01
   10   11     0     0  con    0  1.0D+00  6.9D-01  2.641D-02  8.455D-01
   11   12     0     0  con    0  1.0D+00  5.2D-01  2.565D-02  7.789D-01
   12   13     0     0  con    0  1.0D+00  7.2D-01  2.444D-02  6.729D-01
   13   14     0     0  con    0  1.0D+00  7.0D-01  1.958D-02  6.191D-01
   14   15     0     0  con    0  1.0D+00  4.3D-01  7.867D-03  5.840D-01
   15   16     0     0  con    0  1.0D+00  1.6D-01  1.731D-03  5.788D-01
   16   17     0     0  con    0  1.0D+00  4.0D-02  7.919D-04  5.786D-01
   17   18     0     0  con    0  1.0D+00  1.6D-02  6.265D-04  5.785D-01
   18   19     0     0  con    0  1.0D+00  3.6D-02  6.378D-04  5.784D-01
   19   20     0     0  con    0  1.0D+00  1.4D-01  1.318D-03  5.780D-01
   20   21     0     0  con    0  1.0D+00  2.2D-01  2.070D-03  5.774D-01
   21   22     0     0  con    0  1.0D+00  6.6D-01  4.418D-03  5.762D-01
   22   23     0     0  con    0  1.0D+00  9.2D-01  6.419D-03  5.739D-01
   23   24     0     0  con    0  1.0D+00  2.6D+00  8.877D-03  5.673D-01
   24   25     0     0  con    0  1.0D+00  7.0D+00  1.123D-02  5.543D-01
   25   26     0     0  con    0  1.0D+00  7.4D+00  1.629D-02  5.408D-01
   26   27     0     0  con    0  1.0D+00  5.0D+00  5.195D-03  5.280D-01
   27   28     0     0  con    0  1.0D+00  2.1D+00  4.688D-03  5.254D-01
   28   29     0     0  con    0  1.0D+00  5.6D-01  1.140D-03  5.248D-01
   29   30     0     0  con    0  1.0D+00  4.1D-01  2.702D-04  5.247D-01
   30   31     0     0  con    0  1.0D+00  1.7D-02  2.793D-04  5.247D-01
   31   32     0     0  con    0  1.0D+00  9.6D-02  2.348D-04  5.246D-01
   32   33     0     0  con    0  1.0D+00  5.8D-01  5.540D-04  5.245D-01
   33   34     0     0  con    0  1.0D+00  5.0D-01  9.362D-04  5.242D-01
   34   35     0     0  con    0  1.0D+00  1.1D+00  1.934D-03  5.235D-01
   35   36     0     0  con    0  1.0D+00  2.1D+00  3.742D-03  5.223D-01
   36   37     0     0  con    0  1.0D+00  2.0D+00  4.907D-03  5.200D-01
   37   38     0     0  con    0  1.0D+00  6.4D+00  6.494D-03  5.140D-01
   38   39     0     0  con    0  1.0D+00  2.6D+00  4.919D-03  5.105D-01
   39   40     0     0  con    0  1.0D+00  1.3D+00  2.102D-03  5.071D-01
   40   41     0     0  con    0  1.0D+00  8.4D-01  2.422D-03  5.066D-01
   41   42     0     0  con    0  1.0D+00  3.6D-01  4.302D-04  5.063D-01
   42   43     0     0  con    0  1.0D+00  9.2D-01  6.165D-04  5.062D-01
   43   44     0     0  con    0  1.0D+00  2.0D-01  3.023D-04  5.061D-01
   44   45     0     0  con    0  1.0D+00  1.9D-01  3.501D-04  5.061D-01
   45   46     0     0  con    0  1.0D+00  3.0D-01  3.730D-04  5.061D-01
   46   47     0     0  con    0  1.0D+00  3.9D-01  7.400D-04  5.060D-01
   47   48     0     0  con    0  1.0D+00  8.0D-01  9.099D-04  5.057D-01
   48   49     0     0  con    0  1.0D+00  1.1D+00  1.236D-03  5.053D-01
   49   50     0     0  con    0  1.0D+00  1.4D+00  2.612D-03  5.042D-01
   50   51     0     0  con    0  1.0D+00  4.2D+00  4.130D-03  5.016D-01
   51   52     0     0  con    0  1.0D+00  2.5D+00  7.066D-03  4.987D-01
   52   53     0     0  con    0  1.0D+00  2.9D+00  3.259D-03  4.954D-01
   53   54     0     0  con    0  1.0D+00  2.9D+00  4.062D-03  4.937D-01
   54   55     0     0  con    0  1.0D+00  1.2D+00  2.369D-03  4.927D-01
   55   56     0     0  con    0  1.0D+00  4.5D-01  1.353D-03  4.922D-01
   56   57     0     0  con    0  1.0D+00  3.9D-01  3.745D-04  4.920D-01
   57   58     0     0  con    0  1.0D+00  2.5D-01  3.769D-04  4.920D-01
   58   59     0     0  con    0  1.0D+00  9.0D-02  3.428D-04  4.919D-01
   59   60     0     0  con    0  1.0D+00  1.5D-01  5.757D-04  4.919D-01
   60   61     0     0  con    0  1.0D+00  2.4D-01  7.804D-04  4.917D-01
   61   62     0     0  con    0  1.0D+00  4.9D-01  1.377D-03  4.914D-01
   62   63     0     0  con    0  1.0D+00  1.2D+00  1.973D-03  4.910D-01
   63   64     0     0  con    0  1.0D+00  8.9D-01  2.035D-03  4.903D-01
